rowid,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_kepflag,pl_k2flag,kepler,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_eqt,pl_disc,pl_instrument,solarsystemflag
1865,Kepler-255,c,Transit,9.946047,0.092,,,,,0.267,,1,0,1,,15.596,Kepler-band,5573,0.97,0.93,41773,,2014,Kepler CCD Array,0
1770,Kepler-223,d,Transit,14.788759,0.116,,,,,0.266,,1,0,1,,15.344,Kepler-band,5829,,1.02,41773,,2014,Kepler CCD Array,0
707,K2-8,b,Transit,10.35176,0.0856,,,,,0.265,,0,1,1,,14.609,V (Johnson),4890,0.79,0.74,42201,691,2015,Kepler CCD Array,0
1461,Kepler-154,c,Transit,62.303276,0.303,,,,,0.263,,1,0,1,,14.534,Kepler-band,5690,0.89,1,41773,,2014,Kepler CCD Array,0
2120,Kepler-344,c,Transit,125.596809,0.488,,,,,0.263,,1,0,1,,15.378,Kepler-band,5774,0.9,0.98,41773,,2014,Kepler CCD Array,0
1753,Kepler-219,b,Transit,4.585512,0.057,,,,,0.263,,1,0,1,,13.764,Kepler-band,5786,,1.49,41773,,2014,Kepler CCD Array,0
2631,Kepler-67,b,Transit,15.7259,0.1171,,,,,0.262,,1,0,1,1107,16.4,V (Johnson),5331,0.86,0.78,41773,,2013,Kepler CCD Array,0
1731,Kepler-210,b,Transit,2.453234,0.032,,,,,0.262,,1,0,1,,13.822,Kepler-band,4559,,0.65,41773,,2014,Kepler CCD Array,0
1269,Kepler-139,b,Transit,15.771044,0.127,,,,,0.262,,1,0,1,,12.701,Kepler-band,5594,1.08,1.3,41773,,2014,Kepler CCD Array,0
1057,Kepler-123,b,Transit,17.232366,0.135,,,,,0.262,,1,0,1,,14.061,Kepler-band,6089,1.03,1.26,41773,,2014,Kepler CCD Array,0
2515,Kepler-58,d,Transit,40.101371,0.236,,,,,0.262,,1,0,1,,14.82,Kepler-band,6099,0.95,1.13,41773,,2014,Kepler CCD Array,0
1762,Kepler-221,c,Transit,5.690586,0.059,,,,,0.261,,1,0,1,,13.749,Kepler-band,5243,0.72,0.82,41773,,2014,Kepler CCD Array,0
1447,Kepler-153,b,Transit,18.870227,0.129,,,,,0.261,,1,0,1,,14.262,Kepler-band,5404,,0.89,41773,,2014,Kepler CCD Array,0
2061,Kepler-325,b,Transit,4.544439,0.053,,,,,0.26,,1,0,1,,15.009,Kepler-band,5752,0.87,1,41773,,2014,Kepler CCD Array,0
1148,Kepler-130,c,Transit,27.50868,0.178,0,89.34,,,0.259,,1,0,1,,11.529,Kepler-band,5884,1,1.13,41773,683,2014,Kepler CCD Array,0
2034,Kepler-314,c,Transit,5.960392,0.064,,,,,0.259,,1,0,1,,12.557,Kepler-band,5378,1.02,0.95,41773,,2014,Kepler CCD Array,0
1640,Kepler-178,b,Transit,9.576694,0.085,,,,,0.259,,1,0,1,,14.598,Kepler-band,5676,,1.07,41773,,2014,Kepler CCD Array,0
739,KOI-351,f,Transit,124.9144,0.48,,89.77,,,0.257,,1,0,1,780,13.804,Kepler-band,6080,1.2,1.2,41773,,2013,Kepler CCD Array,0
1641,Kepler-178,c,Transit,20.552802,0.142,,,,,0.257,,1,0,1,,14.598,Kepler-band,5676,,1.07,41773,,2014,Kepler CCD Array,0
888,Kepler-11,c,Transit,13.0241,0.107,0.026,89.59,0.009,Mass,0.256,0.66,1,0,1,613,14.2,V (Johnson),5663,0.96,1.06,41773,,2010,Kepler CCD Array,0
737,KOI-351,d,Transit,59.73667,0.32,,89.71,,,0.256,,1,0,1,780,13.804,Kepler-band,6080,1.2,1.2,41773,,2013,Kepler CCD Array,0
1983,Kepler-297,b,Transit,38.871826,0.217,,,,,0.256,,1,0,1,,14.232,Kepler-band,5619,,0.92,41773,,2014,Kepler CCD Array,0
1922,Kepler-276,b,Transit,14.12841,0.119,,,,,0.256,,1,0,1,,15.368,Kepler-band,6105,1.1,1.05,41773,,2014,Kepler CCD Array,0
2004,Kepler-304,b,Transit,3.295709,0.039,,,,,0.255,,1,0,1,,14.84,Kepler-band,4731,0.8,0.69,41773,,2014,Kepler CCD Array,0
1624,Kepler-172,c,Transit,6.388996,0.068,,,,,0.255,,1,0,1,,14.532,Kepler-band,5526,0.86,1.08,41773,,2014,Kepler CCD Array,0
1619,Kepler-170,c,Transit,16.665863,0.131,,,,,0.255,,1,0,1,,14.387,Kepler-band,5679,,1.03,41773,,2014,Kepler CCD Array,0
1308,Kepler-142,c,Transit,4.761702,0.057,,,,,0.255,,1,0,1,,13.203,Kepler-band,5790,0.99,1.27,41773,,2014,Kepler CCD Array,0
2153,Kepler-358,c,Transit,83.488369,0.381,,,,,0.254,,1,0,1,,15.375,Kepler-band,5908,0.95,0.95,41773,,2014,Kepler CCD Array,0
1955,Kepler-288,c,Transit,19.305772,0.14,,,,,0.254,,1,0,1,,15.151,Kepler-band,5918,0.89,1.09,41773,,2014,Kepler CCD Array,0
1708,Kepler-201,c,Transit,151.884058,0.573,,,,,0.254,,1,0,1,,13.004,Kepler-band,6065,1.17,1.23,41773,,2014,Kepler CCD Array,0
2275,Kepler-410 A,b,Transit,17.833648,0.1226,0.17,87.72,,,0.253,,1,0,1,132,9.364,Kepler-band,6273,1.21,1.35,41773,,2013,Kepler CCD Array,0
1189,Kepler-133,c,Transit,31.517586,0.204,,,,,0.253,,1,0,1,,12.848,Kepler-band,5736,,1.43,41773,,2014,Kepler CCD Array,0
1695,Kepler-198,b,Transit,17.790037,0.131,,,,,0.252,,1,0,1,,13.597,Kepler-band,5574,0.93,0.94,41773,,2014,Kepler CCD Array,0
1936,Kepler-281,b,Transit,14.646008,0.117,,,,,0.252,,1,0,1,,15.773,Kepler-band,5723,0.98,0.9,41773,,2014,Kepler CCD Array,0
1891,Kepler-264,c,Transit,140.101261,0.566,,,,,0.252,,1,0,1,,13.038,Kepler-band,6158,1.32,1.55,41773,,2014,Kepler CCD Array,0
1755,Kepler-219,d,Transit,47.903645,0.272,,,,,0.251,,1,0,1,,13.764,Kepler-band,5786,,1.49,41773,,2014,Kepler CCD Array,0
1818,Kepler-24,c,Transit,12.3335,0.106,,,1.6,Mass,0.25,,1,0,1,1200,14.925,Kepler-band,5897,1.03,1.29,41773,,2011,Kepler CCD Array,0
2620,Kepler-66,b,Transit,17.815815,0.1352,,,,,0.25,,1,0,1,1107,15.3,V (Johnson),5962,1.04,0.97,41773,,2013,Kepler CCD Array,0
1876,Kepler-259,b,Transit,8.115317,0.079,,,,,0.25,,1,0,1,,15.219,Kepler-band,5938,,0.9,41773,,2014,Kepler CCD Array,0
1435,Kepler-152,b,Transit,18.207973,0.124,,,,,0.249,,1,0,1,,14.29,Kepler-band,5088,,0.72,41773,,2014,Kepler CCD Array,0
