rowid,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_kepflag,pl_k2flag,kepler,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_eqt,pl_disc,pl_instrument,solarsystemflag
1863,Kepler-254,d,Transit,18.746477,0.139,,,,,0.223,,1,0,1,,15.843,Kepler-band,5957,,0.91,41773,,2014,Kepler CCD Array,0
1099,Kepler-126,d,Transit,100.283134,0.448,,,,,0.223,,1,0,1,,10.5,Kepler-band,6239,,1.36,41773,,2014,Kepler CCD Array,0
705,K2-6,b,Transit,30.94191,0.1898,,,,,0.223,,0,1,1,,12.654,V (Johnson),5850,0.97,0.96,42201,615,2015,Kepler CCD Array,0
683,K2-22,b,Transit,0.381078,0.0088,,,1.4,Mass,0.223,,0,1,1,225,15.597,V (Johnson),3830,0.6,0.57,42292,2100,2015,Kepler CCD Array,0
891,Kepler-11,f,Transit,46.6888,0.25,0.013,89.47,0.006,Mass,0.222,0.69,1,0,1,613,14.2,V (Johnson),5663,0.96,1.06,41773,,2010,Kepler CCD Array,0
1658,Kepler-184,d,Transit,29.022358,0.179,,,,,0.222,,1,0,1,,14.338,Kepler-band,5788,,0.87,41773,,2014,Kepler CCD Array,0
1894,Kepler-265,d,Transit,43.130617,0.236,,,,,0.222,,1,0,1,,15.381,Kepler-band,5835,1.03,1.1,41773,,2014,Kepler CCD Array,0
2115,Kepler-342,d,Transit,39.459357,0.242,,,,,0.222,,1,0,1,,13.147,Kepler-band,6175,1.13,1.47,41773,,2014,Kepler CCD Array,0
1869,Kepler-256,d,Transit,5.839172,0.064,,,,,0.221,,1,0,1,,15.065,Kepler-band,5551,1.02,1.3,41773,,2014,Kepler CCD Array,0
1896,Kepler-266,b,Transit,6.61833,0.071,,,,,0.221,,1,0,1,,15.59,Kepler-band,5885,0.99,1.03,41773,,2014,Kepler CCD Array,0
673,K2-15,b,Transit,11.8104,0.091,,,,,0.221,,0,1,1,437,14.663,V (Johnson),5131,0.72,0.68,42201,676,2015,Kepler CCD Array,0
2013,Kepler-306,d,Transit,17.326644,0.12,,,,,0.22,,1,0,1,,15.565,Kepler-band,4954,0.82,0.72,41773,,2014,Kepler CCD Array,0
1889,Kepler-263,c,Transit,47.332773,0.242,,,,,0.22,,1,0,1,,15.391,Kepler-band,5265,,0.79,41773,,2014,Kepler CCD Array,0
2822,Kepler-82,e,Transit,5.902206,0.063,,,,,0.22,,1,0,1,,15.158,Kepler-band,5428,0.85,0.94,41773,,2014,Kepler CCD Array,0
1696,Kepler-198,c,Transit,49.567416,0.259,,,,,0.22,,1,0,1,,13.597,Kepler-band,5574,0.93,0.94,41773,,2014,Kepler CCD Array,0
2026,Kepler-310,d,Transit,92.876125,0.392,,,,,0.22,,1,0,1,,14.279,Kepler-band,5797,0.85,0.88,41773,,2014,Kepler CCD Array,0
1712,Kepler-203,c,Transit,5.370647,0.061,,,,,0.22,,1,0,1,,13.989,Kepler-band,5821,0.98,1.11,41773,,2014,Kepler CCD Array,0
1903,Kepler-269,b,Transit,5.326718,0.061,,,,,0.22,,1,0,1,,15.808,Kepler-band,5847,0.98,0.96,41773,,2014,Kepler CCD Array,0
1827,Kepler-243,b,Transit,5.715442,0.062,,,,,0.219,,1,0,1,,15.086,Kepler-band,5228,0.89,0.84,41773,,2014,Kepler CCD Array,0
2242,Kepler-397,b,Transit,22.250949,0.144,,,,,0.219,,1,0,1,,15.996,Kepler-band,5307,,0.77,41773,,2014,Kepler CCD Array,0
1590,Kepler-164,d,Transit,28.986769,0.187,,,,,0.219,,1,0,1,,14.282,Kepler-band,5888,1.11,1.15,41773,,2014,Kepler CCD Array,0
1707,Kepler-201,b,Transit,25.672083,0.175,,,,,0.219,,1,0,1,,13.004,Kepler-band,6065,1.17,1.23,41773,,2014,Kepler CCD Array,0
2099,Kepler-338,b,Transit,13.726976,0.117,,,,,0.218,,1,0,1,,12.119,Kepler-band,5923,1.1,1.74,41773,,2014,Kepler CCD Array,0
1798,Kepler-233,b,Transit,8.472382,0.077,,,,,0.217,,1,0,1,,15.339,Kepler-band,5360,,0.76,41773,,2014,Kepler CCD Array,0
1371,Kepler-147,c,Transit,33.416423,0.216,,,,,0.217,,1,0,1,,13.954,Kepler-band,6012,1.01,1.47,41773,,2014,Kepler CCD Array,0
1628,Kepler-173,c,Transit,8.005777,0.074,,,,,0.217,,1,0,1,,14.209,Kepler-band,6031,0.78,0.95,41773,,2014,Kepler CCD Array,0
1881,Kepler-26,e,Transit,46.827915,0.22,,,,,0.215,,1,0,1,,15.473,Kepler-band,3914,0.54,0.51,41773,,2014,Kepler CCD Array,0
2117,Kepler-343,b,Transit,8.96855,0.088,,,,,0.215,,1,0,1,,14.128,Kepler-band,5807,1.04,1.43,41773,,2014,Kepler CCD Array,0
1320,Kepler-143,b,Transit,16.007583,0.127,,,,,0.215,,1,0,1,,13.77,Kepler-band,5848,,1.36,41773,,2014,Kepler CCD Array,0
1817,Kepler-24,b,Transit,8.1453,0.08,,,1.6,Mass,0.214,,1,0,1,1200,14.925,Kepler-band,5897,1.03,1.29,41773,,2011,Kepler CCD Array,0
918,Kepler-112,c,Transit,28.574263,0.172,,,,,0.214,,1,0,1,,13.771,Kepler-band,5544,,0.84,41773,,2014,Kepler CCD Array,0
1771,Kepler-223,e,Transit,19.721734,0.14,,,,,0.214,,1,0,1,,15.344,Kepler-band,5829,,1.02,41773,,2014,Kepler CCD Array,0
1686,Kepler-194,d,Transit,52.814973,0.275,,,,,0.214,,1,0,1,,14.915,Kepler-band,6089,,1.02,41773,,2014,Kepler CCD Array,0
1436,Kepler-152,c,Transit,88.255055,0.356,,,,,0.213,,1,0,1,,14.29,Kepler-band,5088,,0.72,41773,,2014,Kepler CCD Array,0
1743,Kepler-215,d,Transit,30.864423,0.185,,,,,0.213,,1,0,1,,13.58,Kepler-band,5739,0.77,1.03,41773,,2014,Kepler CCD Array,0
1811,Kepler-238,c,Transit,6.155557,0.069,,,,,0.213,,1,0,1,,15.084,Kepler-band,5751,1.06,1.43,41773,,2014,Kepler CCD Array,0
1682,Kepler-193,b,Transit,11.38848,0.106,,,,,0.213,,1,0,1,,14.615,Kepler-band,6335,,1.15,41773,,2014,Kepler CCD Array,0
1756,Kepler-22,b,Transit,289.8623,0.849,0,89.764,0.113,Mass,0.212,14.7,1,0,1,190,11.664,Kepler-band,5518,0.97,0.98,41773,262,2011,Kepler CCD Array,0
1527,Kepler-159,b,Transit,10.139623,0.082,,,,,0.212,,1,0,1,,14.902,Kepler-band,4625,,0.66,41773,,2014,Kepler CCD Array,0
1671,Kepler-189,c,Transit,20.134866,0.137,,,,,0.212,,1,0,1,,14.859,Kepler-band,5235,0.79,0.75,41773,,2014,Kepler CCD Array,0
1604,Kepler-166,c,Transit,34.260281,0.195,,,,,0.212,,1,0,1,,14.701,Kepler-band,5413,,0.74,41773,,2014,Kepler CCD Array,0
1083,Kepler-125,b,Transit,4.164389,0.041,,,,,0.211,,1,0,1,,14.752,Kepler-band,3810,0.55,0.51,41773,,2014,Kepler CCD Array,0
917,Kepler-112,b,Transit,8.408878,0.076,,,,,0.211,,1,0,1,,13.771,Kepler-band,5544,,0.84,41773,,2014,Kepler CCD Array,0
1135,Kepler-129,b,Transit,15.79186,0.131,,,,,0.211,,1,0,1,,11.696,Kepler-band,5770,1.18,1.64,41773,,2014,Kepler CCD Array,0
1656,Kepler-184,b,Transit,10.687576,0.092,,,,,0.211,,1,0,1,,14.338,Kepler-band,5788,,0.87,41773,,2014,Kepler CCD Array,0
2096,Kepler-336,d,Transit,20.678772,0.154,,,,,0.211,,1,0,1,,13.598,Kepler-band,5867,0.89,1.3,41773,,2014,Kepler CCD Array,0
702,K2-4,b,Transit,10.00329,0.0777,,,,,0.211,,0,1,1,,14.907,V (Johnson),4197,0.63,0.6,42201,563,2015,Kepler CCD Array,0
2345,Kepler-454,b,Transit,10.57375339,0.0954,0,87.09,0.02152,Mass,0.211,2.76,1,0,1,,11.57,V (Johnson),5701,1.03,1.07,42341,,2015,Kepler CCD Array,0
2012,Kepler-306,c,Transit,7.240193,0.067,,,,,0.21,,1,0,1,,15.565,Kepler-band,4954,0.82,0.72,41773,,2014,Kepler CCD Array,0
1970,Kepler-292,f,Transit,20.834237,0.141,,,,,0.21,,1,0,1,,15.956,Kepler-band,5299,0.88,0.83,41773,,2014,Kepler CCD Array,0
1623,Kepler-172,b,Transit,2.940309,0.04,,,,,0.21,,1,0,1,,14.532,Kepler-band,5526,0.86,1.08,41773,,2014,Kepler CCD Array,0
1870,Kepler-256,e,Transit,10.681572,0.096,,,,,0.21,,1,0,1,,15.065,Kepler-band,5551,1.02,1.3,41773,,2014,Kepler CCD Array,0
1745,Kepler-216,b,Transit,7.693641,0.079,,,,,0.21,,1,0,1,,13.998,Kepler-band,6091,,1.26,41773,,2014,Kepler CCD Array,0
2324,Kepler-443,b,Transit,177.6693,0.495,0.11,89.94,,,0.21,,1,0,1,779,15.891,Kepler-band,4723,0.74,0.71,42010,,2015,Kepler CCD Array,0
1836,Kepler-246,b,Transit,4.60182,0.052,,,,,0.209,,1,0,1,,15.024,Kepler-band,5206,0.86,0.83,41773,,2014,Kepler CCD Array,0
1030,Kepler-121,b,Transit,3.177422,0.039,,,,,0.209,,1,0,1,,14.708,Kepler-band,5311,,0.7,41773,,2014,Kepler CCD Array,0
1620,Kepler-171,b,Transit,4.166972,0.05,,,,,0.209,,1,0,1,,14.883,Kepler-band,5642,,0.84,41773,,2014,Kepler CCD Array,0
1738,Kepler-213,c,Transit,4.822962,0.057,,,,,0.209,,1,0,1,,13.648,Kepler-band,5696,0.94,1.2,41773,,2014,Kepler CCD Array,0
2100,Kepler-338,c,Transit,24.310856,0.172,,,,,0.209,,1,0,1,,12.119,Kepler-band,5923,1.1,1.74,41773,,2014,Kepler CCD Array,0
1042,Kepler-122,b,Transit,5.766193,0.064,,,,,0.209,,1,0,1,,14.247,Kepler-band,6050,0.99,1.22,41773,,2014,Kepler CCD Array,0
1919,Kepler-275,b,Transit,10.300682,0.098,,,,,0.209,,1,0,1,,15.319,Kepler-band,6165,1.24,1.38,41773,,2014,Kepler CCD Array,0
1823,Kepler-241,b,Transit,12.718092,0.094,,,,,0.208,,1,0,1,,15.389,Kepler-band,4699,,0.67,41773,,2014,Kepler CCD Array,0
1815,Kepler-239,b,Transit,11.763051,0.095,,,,,0.208,,1,0,1,,15.208,Kepler-band,4914,0.74,0.76,41773,,2014,Kepler CCD Array,0
1952,Kepler-287,b,Transit,20.342199,0.145,,,,,0.208,,1,0,1,,14.775,Kepler-band,5806,,1.03,41773,,2014,Kepler CCD Array,0
670,K2-12,b,Transit,8.28212,0.0802,,,,,0.208,,0,1,1,294,12.258,V (Johnson),5800,1.01,1.01,42201,1003,2015,Kepler CCD Array,0
1601,Kepler-165,b,Transit,8.180848,0.072,,,,,0.207,,1,0,1,,14.802,Kepler-band,5211,,0.77,41773,,2014,Kepler CCD Array,0
2054,Kepler-321,c,Transit,13.093921,0.11,,,,,0.207,,1,0,1,,12.706,Kepler-band,5740,1.01,1.19,41773,,2014,Kepler CCD Array,0
689,K2-28,b,Transit,2.260455,0.0214,0,88.9,,,0.207,,0,1,1,53,16.061,V (Johnson),3214,0.26,0.29,42425,568,2016,Kepler CCD Array,0
2642,Kepler-68,b,Transit,5.398763,0.0617,0,87.6,0.026,Mass,0.206,3.32,1,0,1,135,9.99,V (Johnson),5793,1.08,1.24,41773,1280,2013,Kepler CCD Array,0
1831,Kepler-244,d,Transit,20.050401,0.14,,,,,0.206,,1,0,1,,15.604,Kepler-band,5554,,0.8,41773,,2014,Kepler CCD Array,0
1774,Kepler-224,d,Transit,11.349393,0.089,,,,,0.205,,1,0,1,,15.644,Kepler-band,5018,0.74,0.68,41773,,2014,Kepler CCD Array,0
1490,Kepler-156,b,Transit,4.973456,0.054,,,,,0.205,,1,0,1,,14.172,Kepler-band,5094,,0.81,41773,,2014,Kepler CCD Array,0
970,Kepler-116,c,Transit,13.07163,0.116,,,,,0.205,,1,0,1,,13.717,Kepler-band,6142,1.16,1.45,41773,,2014,Kepler CCD Array,0
2045,Kepler-319,d,Transit,31.781925,0.191,,,,,0.204,,1,0,1,,13.828,Kepler-band,5526,1.29,0.9,41773,,2014,Kepler CCD Array,0
2205,Kepler-379,c,Transit,62.784697,0.326,,,,,0.204,,1,0,1,,13.358,Kepler-band,6054,1.08,1.31,41773,,2014,Kepler CCD Array,0
1900,Kepler-267,d,Transit,28.464515,0.154,,,,,0.203,,1,0,1,,15.438,Kepler-band,4258,0.56,0.56,41773,,2014,Kepler CCD Array,0
2014,Kepler-306,e,Transit,44.840975,0.227,,,,,0.203,,1,0,1,,15.565,Kepler-band,4954,0.82,0.72,41773,,2014,Kepler CCD Array,0
1850,Kepler-250,c,Transit,7.156804,0.069,,,,,0.203,,1,0,1,,15.46,Kepler-band,5160,0.8,0.81,41773,,2014,Kepler CCD Array,0
1031,Kepler-121,c,Transit,41.008011,0.216,,,,,0.203,,1,0,1,,14.708,Kepler-band,5311,,0.7,41773,,2014,Kepler CCD Array,0
1603,Kepler-166,b,Transit,7.650254,0.072,,,,,0.203,,1,0,1,,14.701,Kepler-band,5413,,0.74,41773,,2014,Kepler CCD Array,0
1779,Kepler-226,c,Transit,5.349555,0.058,,,,,0.203,,1,0,1,,15.416,Kepler-band,5571,0.86,0.8,41773,,2014,Kepler CCD Array,0
1655,Kepler-183,c,Transit,11.637071,0.103,,,,,0.203,,1,0,1,,14.943,Kepler-band,5888,,0.96,41773,,2014,Kepler CCD Array,0
1728,Kepler-209,b,Transit,16.087845,0.122,,,,,0.202,,1,0,1,,13.998,Kepler-band,5513,,0.94,41773,,2014,Kepler CCD Array,0
1460,Kepler-154,b,Transit,33.040532,0.198,,,,,0.202,,1,0,1,,14.534,Kepler-band,5690,0.89,1,41773,,2014,Kepler CCD Array,0
1577,Kepler-163,c,Transit,21.347262,0.152,,,,,0.202,,1,0,1,,14.415,Kepler-band,5776,0.96,0.92,41773,,2014,Kepler CCD Array,0
1962,Kepler-290,b,Transit,14.589347,0.11,,,,,0.201,,1,0,1,,15.596,Kepler-band,5147,,0.74,41773,,2014,Kepler CCD Array,0
1914,Kepler-272,d,Transit,10.937304,0.091,,,,,0.201,,1,0,1,,14.678,Kepler-band,5297,0.79,0.93,41773,,2014,Kepler CCD Array,0
1625,Kepler-172,d,Transit,14.627119,0.118,,,,,0.201,,1,0,1,,14.532,Kepler-band,5526,0.86,1.08,41773,,2014,Kepler CCD Array,0
1996,Kepler-300,c,Transit,40.714955,0.232,,,,,0.201,,1,0,1,,14.201,Kepler-band,5986,0.94,0.9,41773,,2014,Kepler CCD Array,0
2113,Kepler-342,b,Transit,15.170318,0.128,,,,,0.201,,1,0,1,,13.147,Kepler-band,6175,1.13,1.47,41773,,2014,Kepler CCD Array,0
708,K2-9,b,Transit,18.4498,0.091,,87.983,,,0.201,,0,1,1,110,15.63,V (Johnson),3390,0.3,0.31,42390,314,2015,Kepler CCD Array,0
2655,Kepler-69,b,Transit,13.722341,0.094,0.16,89.62,,,0.2,,1,0,1,,14,V (Johnson),5638,0.81,0.93,41773,779,2013,Kepler CCD Array,0
1479,Kepler-155,c,Transit,52.661793,0.242,,,,,0.2,,1,0,1,,14.258,Kepler-band,4508,0.58,0.62,41773,,2014,Kepler CCD Array,0
1690,Kepler-196,c,Transit,47.427737,0.24,,,,,0.2,,1,0,1,,14.157,Kepler-band,5128,,0.78,41773,,2014,Kepler CCD Array,0
1944,Kepler-284,b,Transit,12.699149,0.104,,,,,0.2,,1,0,1,,15.824,Kepler-band,5615,,0.81,41773,,2014,Kepler CCD Array,0
1503,Kepler-157,c,Transit,13.5405,0.11,,,,,0.2,,1,0,1,,14.002,Kepler-band,5774,,1.04,41773,,2014,Kepler CCD Array,0
677,K2-18,b,Transit,32.94488,0.1491,,,,,0.2,,0,1,1,34,13.496,V (Johnson),3503,0.41,0.39,42201,272,2015,Kepler CCD Array,0
2319,Kepler-439,b,Transit,178.1396,0.563,0.03,89.95,,,0.2,,1,0,1,693,14.56,Kepler-band,5431,0.88,0.87,42010,,2015,Kepler CCD Array,0
1802,Kepler-235,b,Transit,3.340222,0.037,,,,,0.199,,1,0,1,,15.954,Kepler-band,4255,0.59,0.55,41773,,2014,Kepler CCD Array,0
1602,Kepler-165,c,Transit,15.31299,0.11,,,,,0.199,,1,0,1,,14.802,Kepler-band,5211,,0.77,41773,,2014,Kepler CCD Array,0
1968,Kepler-292,d,Transit,7.055679,0.068,,,,,0.199,,1,0,1,,15.956,Kepler-band,5299,0.88,0.83,41773,,2014,Kepler CCD Array,0
1747,Kepler-217,b,Transit,5.374943,0.065,,,,,0.199,,1,0,1,,13.294,Kepler-band,6171,,1.8,41773,,2014,Kepler CCD Array,0
676,K2-17,b,Transit,17.96753,0.119,,,,,0.199,,0,1,1,134,13.519,V (Johnson),4320,0.71,0.66,42201,487,2015,Kepler CCD Array,0
1805,Kepler-235,e,Transit,46.183669,0.213,,,,,0.198,,1,0,1,,15.954,Kepler-band,4255,0.59,0.55,41773,,2014,Kepler CCD Array,0
894,Kepler-110,c,Transit,31.719775,0.198,,,,,0.197,,1,0,1,,12.935,Kepler-band,5960,,1.15,41773,,2014,Kepler CCD Array,0
2046,Kepler-32,b,Transit,5.90124,0.05,,,4.1,Mass,0.196,,1,0,1,303,16.452,V (Johnson),3900,0.58,0.53,42453,,2011,Kepler CCD Array,0
1822,Kepler-240,c,Transit,7.953528,0.074,,,,,0.196,,1,0,1,,15.66,Kepler-band,4985,,0.74,41773,,2014,Kepler CCD Array,0
1615,Kepler-169,e,Transit,13.767102,0.105,,,,,0.196,,1,0,1,,14.194,Kepler-band,4997,0.86,0.76,41773,,2014,Kepler CCD Array,0
1786,Kepler-229,b,Transit,6.252972,0.062,,,,,0.196,,1,0,1,,15.841,Kepler-band,5120,,0.73,41773,,2014,Kepler CCD Array,0
1791,Kepler-23,d,Transit,15.274299,0.124,,,,,0.196,,1,0,1,800,13.438,Kepler-band,5828,1.11,1.55,41773,,2014,Kepler CCD Array,0
2851,Kepler-84,f,Transit,44.552169,0.25,,,,,0.196,,1,0,1,,14.764,Kepler-band,6031,1,1.17,41773,,2014,Kepler CCD Array,0
1044,Kepler-122,d,Transit,21.587475,0.155,,,,,0.196,,1,0,1,,14.247,Kepler-band,6050,0.99,1.22,41773,,2014,Kepler CCD Array,0
1631,Kepler-174,d,Transit,247.35373,0.677,,,,,0.195,,1,0,1,,14.287,Kepler-band,4880,,0.62,41773,,2014,Kepler CCD Array,0
2404,Kepler-50,c,Transit,9.37647,0.087,,,,,0.194,,1,0,1,,10.421,Kepler-band,6225,1.24,1.58,41773,,2012,Kepler CCD Array,0
2005,Kepler-304,c,Transit,5.315946,0.054,,,,,0.194,,1,0,1,,14.84,Kepler-band,4731,0.8,0.69,41773,,2014,Kepler CCD Array,0
1884,Kepler-261,b,Transit,10.381227,0.088,,,,,0.194,,1,0,1,,13.562,Kepler-band,5098,0.87,0.79,41773,,2014,Kepler CCD Array,0
1833,Kepler-245,c,Transit,17.460812,0.124,,,,,0.194,,1,0,1,,15.599,Kepler-band,5100,0.8,0.8,41773,,2014,Kepler CCD Array,0
1851,Kepler-250,d,Transit,17.648312,0.127,,,,,0.194,,1,0,1,,15.46,Kepler-band,5160,0.8,0.81,41773,,2014,Kepler CCD Array,0
1309,Kepler-142,d,Transit,41.809118,0.242,,,,,0.193,,1,0,1,,13.203,Kepler-band,5790,0.99,1.27,41773,,2014,Kepler CCD Array,0
2018,Kepler-308,c,Transit,15.38231,0.123,,,,,0.193,,1,0,1,,15.809,Kepler-band,5895,,0.94,41773,,2014,Kepler CCD Array,0
1964,Kepler-291,b,Transit,3.546511,0.047,,,,,0.193,,1,0,1,,15.934,Kepler-band,6002,1.03,1.02,41773,,2014,Kepler CCD Array,0
1018,Kepler-120,b,Transit,6.312501,0.055,,,,,0.192,,1,0,1,,14.735,Kepler-band,4096,,0.53,41773,,2014,Kepler CCD Array,0
1857,Kepler-252,c,Transit,10.848463,0.08,,,,,0.192,,1,0,1,,15.058,Kepler-band,4208,0.52,0.55,41773,,2014,Kepler CCD Array,0
1868,Kepler-256,c,Transit,3.38802,0.045,,,,,0.192,,1,0,1,,15.065,Kepler-band,5551,1.02,1.3,41773,,2014,Kepler CCD Array,0
1862,Kepler-254,c,Transit,12.412183,0.105,,,,,0.192,,1,0,1,,15.843,Kepler-band,5957,,0.91,41773,,2014,Kepler CCD Array,0
1957,Kepler-289,b,Transit,34.545,0.21,,89.59,0.023,Mass,0.192,4.1,1,0,1,700,13.956,Kepler-band,5990,1.08,1,41962,,2014,Kepler CCD Array,0
2169,Kepler-364,c,Transit,59.980627,0.312,,,,,0.192,,1,0,1,,13.66,Kepler-band,6108,1.2,1.28,41773,,2014,Kepler CCD Array,0
2255,Kepler-401,c,Transit,47.318218,0.269,,,,,0.192,,1,0,1,,13.312,Kepler-band,6117,,1.33,41773,,2014,Kepler CCD Array,0
675,K2-16,c,Transit,19.07536,0.122,,,,,0.191,,0,1,1,324,14.648,V (Johnson),4761,0.67,0.64,42201,523,2015,Kepler CCD Array,0
1899,Kepler-267,c,Transit,6.87745,0.06,,,,,0.19,,1,0,1,,15.438,Kepler-band,4258,0.56,0.56,41773,,2014,Kepler CCD Array,0
1942,Kepler-283,b,Transit,11.008151,0.082,,,,,0.19,,1,0,1,,15.847,Kepler-band,4351,,0.57,41773,,2014,Kepler CCD Array,0
1705,Kepler-200,b,Transit,8.594805,0.08,,,,,0.19,,1,0,1,,13.984,Kepler-band,5678,,0.94,41773,,2014,Kepler CCD Array,0
1740,Kepler-214,c,Transit,28.7798,0.194,,,,,0.19,,1,0,1,,13.949,Kepler-band,6169,,1.35,41773,,2014,Kepler CCD Array,0
674,K2-16,b,Transit,7.62067,0.0662,,,,,0.19,,0,1,1,324,14.648,V (Johnson),4761,0.67,0.64,42201,710,2015,Kepler CCD Array,0
2317,Kepler-437,b,Transit,66.65062,0.288,0.02,89.9,,,0.19,,1,0,1,417,14.352,Kepler-band,4551,0.71,0.68,42010,,2015,Kepler CCD Array,0
1515,Kepler-158,b,Transit,16.709184,0.111,,,,,0.189,,1,0,1,,14.427,Kepler-band,4623,,0.62,41773,,2014,Kepler CCD Array,0
1552,Kepler-161,b,Transit,4.921355,0.054,,,,,0.189,,1,0,1,,14.196,Kepler-band,5078,0.77,0.81,41773,,2014,Kepler CCD Array,0
2446,Kepler-53,d,Transit,9.751962,0.091,,,,,0.189,,1,0,1,,15.386,Kepler-band,5858,0.98,0.89,41773,,2014,Kepler CCD Array,0
2017,Kepler-308,b,Transit,9.694928,0.09,,,,,0.189,,1,0,1,,15.809,Kepler-band,5895,,0.94,41773,,2014,Kepler CCD Array,0
2095,Kepler-336,c,Transit,9.600001,0.092,,,,,0.187,,1,0,1,,13.598,Kepler-band,5867,0.89,1.3,41773,,2014,Kepler CCD Array,0
2160,Kepler-360,c,Transit,7.186434,0.075,,,,,0.187,,1,0,1,,14.866,Kepler-band,6053,0.95,1.06,41773,,2014,Kepler CCD Array,0
1980,Kepler-296,d,Transit,19.850291,0.118,0.33,,,,0.186,,1,0,1,226,15.921,Kepler-band,3740,0.5,0.48,42250,,2014,Kepler CCD Array,0
1478,Kepler-155,b,Transit,5.931194,0.056,,,,,0.186,,1,0,1,,14.258,Kepler-band,4508,0.58,0.62,41773,,2014,Kepler CCD Array,0
1809,Kepler-237,c,Transit,8.103636,0.071,,,,,0.186,,1,0,1,,15.289,Kepler-band,4861,0.7,0.72,41773,,2014,Kepler CCD Array,0
1424,Kepler-151,c,Transit,24.674612,0.16,,,,,0.186,,1,0,1,,14.769,Kepler-band,5460,0.83,0.83,41773,,2014,Kepler CCD Array,0
2039,Kepler-317,b,Transit,5.524242,0.061,,,,,0.186,,1,0,1,,15.377,Kepler-band,5497,0.95,0.94,41773,,2014,Kepler CCD Array,0
2266,Kepler-405,b,Transit,10.613839,0.095,,,,,0.186,,1,0,1,,15.855,Kepler-band,5818,,0.89,41773,,2014,Kepler CCD Array,0
2189,Kepler-372,c,Transit,20.053763,0.154,,,,,0.186,,1,0,1,,14.881,Kepler-band,6509,1.15,1.14,41773,,2014,Kepler CCD Array,0
691,K2-3,b,Transit,10.05429,0.0775,0.06,89.59,0.02643,Mass,0.185,4.32,0,1,1,42,12.17,V (Johnson),,0.61,0.55,42292,,2015,Kepler CCD Array,0
1654,Kepler-183,b,Transit,5.687945,0.064,,,,,0.184,,1,0,1,,14.943,Kepler-band,5888,,0.96,41773,,2014,Kepler CCD Array,0
2201,Kepler-377,c,Transit,27.014976,0.182,,,,,0.184,,1,0,1,,13.86,Kepler-band,5949,0.88,1.22,41773,,2014,Kepler CCD Array,0
1804,Kepler-235,d,Transit,20.060548,0.122,,,,,0.183,,1,0,1,,15.954,Kepler-band,4255,0.59,0.55,41773,,2014,Kepler CCD Array,0
1553,Kepler-161,c,Transit,7.06424,0.068,,,,,0.183,,1,0,1,,14.196,Kepler-band,5078,0.77,0.81,41773,,2014,Kepler CCD Array,0
1830,Kepler-244,c,Transit,9.767292,0.087,,,,,0.183,,1,0,1,,15.604,Kepler-band,5554,,0.8,41773,,2014,Kepler CCD Array,0
2167,Kepler-363,d,Transit,11.932125,0.107,,,,,0.183,,1,0,1,,13.353,Kepler-band,5593,1.23,1.49,41773,,2014,Kepler CCD Array,0
2098,Kepler-337,c,Transit,9.693201,0.093,,,,,0.183,,1,0,1,,12.727,Kepler-band,5684,0.96,1.76,41773,,2014,Kepler CCD Array,0
1226,Kepler-136,b,Transit,11.5789,0.106,,,,,0.183,,1,0,1,,12.459,Kepler-band,6165,1.2,1.35,41773,,2014,Kepler CCD Array,0
1793,Kepler-230,c,Transit,91.773242,0.38,,,,,0.182,,1,0,1,,15.082,Kepler-band,5588,,0.82,41773,,2014,Kepler CCD Array,0
2170,Kepler-365,b,Transit,10.664903,0.098,,,,,0.182,,1,0,1,,14.651,Kepler-band,6012,0.99,1.05,41773,,2014,Kepler CCD Array,0
1687,Kepler-195,b,Transit,8.307872,0.077,,,,,0.181,,1,0,1,,14.813,Kepler-band,5329,,0.78,41773,,2014,Kepler CCD Array,0
1660,Kepler-185,c,Transit,20.729042,0.139,,,,,0.18,,1,0,1,,14.458,Kepler-band,5208,0.79,0.81,41773,,2014,Kepler CCD Array,0
2118,Kepler-343,c,Transit,23.22182,0.167,,,,,0.18,,1,0,1,,14.128,Kepler-band,5807,1.04,1.43,41773,,2014,Kepler CCD Array,0
1882,Kepler-260,b,Transit,8.187399,0.075,,,,,0.179,,1,0,1,,14.138,Kepler-band,5250,0.88,0.86,41773,,2014,Kepler CCD Array,0
1935,Kepler-280,c,Transit,4.807091,0.056,,,,,0.179,,1,0,1,,14.466,Kepler-band,5744,0.91,0.89,41773,,2014,Kepler CCD Array,0
1907,Kepler-270,b,Transit,11.476094,0.107,,,,,0.179,,1,0,1,,13.908,Kepler-band,6067,,1.46,41773,,2014,Kepler CCD Array,0
2047,Kepler-32,c,Transit,8.7522,0.09,,,0.5,Mass,0.178,,1,0,1,303,16.452,V (Johnson),3900,0.58,0.53,42453,,2011,Kepler CCD Array,0
1645,Kepler-18,b,Transit,3.504725,0.0447,0,84.92,0.022,Mass,0.178,4.9,1,0,1,,13.549,Kepler-band,5345,0.97,1.11,41773,,2011,Kepler CCD Array,0
2182,Kepler-37,d,Transit,39.792187,0.2076,,89.335,,,0.178,,1,0,1,66,9.705,Kepler-band,5417,0.8,0.77,41773,,2013,Kepler CCD Array,0
